id,__latitude,__longitude,country,country__shape,country__colour,year,year__shape,year__colour,haplotype,haplotype__shape,haplotype__colour
10592_2_49_ComE02-2364_2002,-12.1667,44.25,Comoros,circle,#6495ED,2002,square,#B0E0E6,,triangle,#FFFAFA
10592_2_5_Pak17311_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_50_MexE98-4364_1998,23,-102,Mexico,circle,#483D8B,1998,square,#556B2F,,triangle,#FFFAFA
10592_2_51_MorE99-4879_1999,32,-5,Morocco,circle,#ADD8E6,1999,square,#006400,,triangle,#FFFAFA
10592_2_52_Africa09-4584_2009,-7.0222458,0,Africa,circle,#F0F8FF,2009,square,#4682B4,,triangle,#FFFAFA
10592_2_53_France_African_name09-2214_2009,46,2,France,circle,#808080,2009,square,#4682B4,,triangle,#FFFAFA
10592_2_54_MorE00-6657_2000,32,-5,Morocco,circle,#ADD8E6,2000,square,#F0FFFF,,triangle,#FFFAFA
10592_2_55_ArmE98-11555_1998,40,45,Armenia,circle,#CD853F,1998,square,#556B2F,,triangle,#FFFAFA
10592_2_57_CamerE01-1747_2001,6,12,Cameroon,circle,#000080,2001,square,#E0FFFF,,triangle,#FFFAFA
10592_2_58_CAR09-6906_2009,7,21,CentralAfricanRepublic,circle,#0000FF,2009,square,#4682B4,,triangle,#FFFAFA
10592_2_59_MaliE99-6359_1999,17,-4,Mali,circle,#3CB371,1999,square,#006400,,triangle,#FFFAFA
10592_2_6_Pak18763_2003,30,70,Pakistan,circle,#800000,2003,square,#00FFFF,,triangle,#FFFAFA
10592_2_61_Mad80-2002_1980,-20,47,Madagascar,circle,#B0C4DE,1980,square,#FFA500,,triangle,#FFFAFA
10592_2_63_DRC76-1292_1976,0,25,DemocraticRepublicCongo,circle,#4169E1,1976,square,#DAA520,,triangle,#FFFAFA
10592_2_65_Camer09-5224_2009,6,12,Cameroon,circle,#000080,2009,square,#4682B4,,triangle,#FFFAFA
10592_2_66_MadE96-12081_1996,-20,47,Madagascar,circle,#B0C4DE,1996,square,#008000,,triangle,#FFFAFA
10592_2_67_IndE97-2307_1997,20,77,India,circle,#FF6347,1997,square,#6B8E23,,triangle,#FFFAFA
10592_2_68_SenE99-1028_1999,14,-14,Senegal,circle,#8FBC8F,1999,square,#006400,,triangle,#FFFAFA
10592_2_69_NigE02-0530_2002,10,8,Nigeria,circle,#90EE90,2002,square,#B0E0E6,,triangle,#FFFAFA
